ID,Nama UMKM,Alamat
125,Kupat Sate Ayam Kampung 'Nari' Khas Jatibarang,
126,Warung Sate Kambing Sari Rasa Pak Tamar,
127,Sate Kambing Sari Rasa,
128,WARUNG SATE INDIA,
129,Warung Kupat Sate Sinduyasa,
130,Rm Sate Ayam Kampung & Lontong Sayur Mb@ Some,
131,RM Raja Sate,
132,Warung Sate Ayam Pak Doel Kios Pasar,
133,Kedai Sate Madura,
134,Warung sate kambing mang cali,
135,Sate Ayam Kampung & Lontong Sayur Mba Ipah,
136,Sate kambing muda Ibu Nita,
137,Sate Ayam Kampung Mba Pur,
138,Sate kambing Bang Julian,
139,Sate ayam & blengong Bang Slenteng,
140,Warung sate Kambing Pak Glowor,
141,Warung sate kambing Pak Glowor,
142,"Rumah Makan Padang ""Sari Bundo",
143,Rumah Makan Padang Selera Kita,
144,RM. RESTU BUNDO Jatibarang,
145,"Rumah Makan Padang ""Sari Bundo""",
146,Rumah Makan Padang Selera Kita Bersama,
147,RM. Sari Jaya Masakan Padang,
148,Rumah Makan Putra Minang,
149,Rumah makan padang Cinto,
150,Rumah makan padang cinta rasa,
151,Rumah makan pada Berkah rasa,
152,Rumah makan padang panjang cinto,
153,Rumah makan padang cita rasa,
154,Rumah makan padang  minang lezat,
155,Rumah makan padang sederhana,
156,Rumah makan padang minang maning,
157,Warung padang makmur,
158,Padang sederhana asli,
159,Rumah makan padang simpang raya,
160,RM Padang berkah rasa,
161,Kupat Glabed ibu niti,
162,Kupat Glabed ibu kanah,
163,Kupat glabed ibu tuti,
164,Kupat glabed ibu soimah,
165,WARUNG KUPAT BU DIROL,
166,Kupat Glabed Sate Blengong Mas Rizki,
167,Kupat Glabed Sate Blengong Mas Rizk,
168,Kupat Glabed Bapak Yudi,
169,Kupat Glabed yu sop,
170,Warung Kupat Glabed bu Inka,
171,Kupat Glabed bu Ikoh,
172,Kupat Glabed pak lebe,
173,Kupat Glabed pak Klowor,
174,Warung Kupat Glabed bu nanik,
175,Warung Kupat Glabed ibu fauziyah,
176,Warung Kupat Glabed bang rizki,
177,Warung kupat mak isah,
178,Kupat blengong ibu nurul,
179,Kupat blengong bu madyo,
180,Warung kupat blengong pak marki,
181,Kupat blengong yu sainah,
